order_id,order_date,customer_id,product_id,quantity,discount,channel,revenue,cost,profit
ORD04762,2022-01-01,C0420,P020,1,0.2,Online,404.9,276.85,128.05
ORD03038,2022-01-01,C0180,P003,1,0.1,Wholesale,94.83,70.85,23.98
ORD04885,2022-01-01,C0467,P001,1,0.0,Retail,380.94,156.07,224.87
ORD01653,2022-01-01,C0496,P013,3,0.05,Retail,1200.53,563.61,636.92
ORD00409,2022-01-02,C0263,P019,2,0.1,Wholesale,328.57,257.6,70.97
ORD00880,2022-01-02,C0206,P002,2,0.0,Retail,1192.78,590.96,601.82
ORD00247,2022-01-02,C0449,P009,2,0.1,Online,446.87,257.3,189.57
ORD03588,2022-01-02,C0272,P012,1,0.0,Retail,215.61,123.94,91.67
ORD04632,2022-01-02,C0022,P018,3,0.0,Retail,2632.83,1159.8,1473.03
ORD00476,2022-01-02,C0354,P007,1,0.0,Online,520.32,334.65,185.67
ORD04122,2022-01-02,C0289,P017,1,0.05,Online,81.95,35.37,46.58
ORD04610,2022-01-02,C0335,P004,3,0.05,Online,217.68,97.95,119.73
ORD02987,2022-01-03,C0349,P013,2,0.05,Online,800.36,375.74,424.62
ORD03180,2022-01-03,C0140,P006,1,0.15,Wholesale,37.76,18.03,19.73
ORD02068,2022-01-03,C0338,P013,1,0.1,Retail,379.12,187.87,191.25
ORD03061,2022-01-03,C0212,P006,2,0.0,Online,88.84,36.06,52.78
ORD03786,2022-01-03,C0051,P004,5,0.0,Retail,381.9,163.25,218.65
ORD00386,2022-01-03,C0011,P009,1,0.05,Online,235.85,128.65,107.2
ORD02114,2022-01-04,C0251,P012,2,0.15,Wholesale,366.54,247.88,118.66
ORD03887,2022-01-04,C0212,P013,1,0.15,Retail,358.05,187.87,170.18
ORD04590,2022-01-04,C0475,P017,2,0.0,Wholesale,172.52,70.74,101.78
ORD00225,2022-01-04,C0337,P001,2,0.0,Retail,761.88,312.14,449.74
ORD04002,2022-01-05,C0181,P020,3,0.0,Online,1518.39,830.55,687.84
ORD04324,2022-01-05,C0261,P014,3,0.1,Online,454.82,263.61,191.21
ORD01884,2022-01-05,C0128,P007,1,0.05,Direct Sales,494.3,334.65,159.65
ORD03957,2022-01-06,C0231,P009,2,0.05,Wholesale,471.69,257.3,214.39
ORD01170,2022-01-06,C0461,P016,3,0.0,Direct Sales,1114.65,740.82,373.83
ORD01773,2022-01-06,C0281,P009,5,0.1,Online,1117.17,643.25,473.92
ORD03454,2022-01-06,C0463,P019,2,0.1,Wholesale,328.57,257.6,70.97
ORD02024,2022-01-06,C0497,P016,5,0.2,Wholesale,1486.2,1234.7,251.5
ORD00944,2022-01-06,C0365,P012,4,0.0,Wholesale,862.44,495.76,366.68
ORD03241,2022-01-07,C0021,P010,2,0.0,Direct Sales,588.74,356.92,231.82
ORD04564,2022-01-07,C0457,P009,1,0.1,Online,223.43,128.65,94.78
ORD04562,2022-01-07,C0435,P013,1,0.0,Online,421.24,187.87,233.37
ORD03754,2022-01-07,C0029,P013,2,0.0,Direct Sales,842.48,375.74,466.74
ORD01637,2022-01-08,C0014,P019,3,0.0,Wholesale,547.62,386.4,161.22
ORD03955,2022-01-08,C0219,P001,3,0.0,Direct Sales,1142.82,468.21,674.61
ORD04313,2022-01-08,C0442,P005,3,0.05,Retail,1497.53,733.29,764.24
ORD03181,2022-01-09,C0229,P008,1,0.05,Retail,116.84,80.91,35.93
ORD03477,2022-01-09,C0413,P013,3,0.0,Online,1263.72,563.61,700.11
ORD01447,2022-01-09,C0042,P014,3,0.0,Wholesale,505.35,263.61,241.74
ORD03554,2022-01-09,C0063,P012,4,0.0,Online,862.44,495.76,366.68
ORD00870,2022-01-10,C0197,P016,4,0.1,Online,1337.58,987.76,349.82
ORD04223,2022-01-10,C0092,P017,1,0.05,Retail,81.95,35.37,46.58
ORD03356,2022-01-10,C0427,P002,1,0.05,Retail,566.57,295.48,271.09
ORD03144,2022-01-10,C0066,P017,4,0.0,Online,345.04,141.48,203.56
ORD00075,2022-01-11,C0033,P015,1,0.15,Online,277.77,241.04,36.73
ORD04185,2022-01-11,C0379,P004,1,0.15,Online,64.92,32.65,32.27
ORD01291,2022-01-11,C0132,P010,1,0.0,Retail,294.37,178.46,115.91
ORD04601,2022-01-11,C0087,P010,1,0.0,Direct Sales,294.37,178.46,115.91
ORD04357,2022-01-11,C0298,P020,1,0.15,Online,430.21,276.85,153.36
ORD00027,2022-01-11,C0400,P006,2,0.0,Online,88.84,36.06,52.78
ORD04468,2022-01-12,C0299,P004,1,0.0,Retail,76.38,32.65,43.73
ORD02236,2022-01-12,C0056,P007,2,0.0,Direct Sales,1040.64,669.3,371.34
ORD02816,2022-01-12,C0418,P005,1,0.0,Retail,525.45,244.43,281.02
ORD03138,2022-01-13,C0013,P001,5,0.1,Online,1714.23,780.35,933.88
ORD04543,2022-01-13,C0424,P014,4,0.05,Wholesale,640.11,351.48,288.63
ORD04603,2022-01-13,C0399,P004,1,0.0,Online,76.38,32.65,43.73
ORD03985,2022-01-14,C0154,P012,1,0.15,Online,183.27,123.94,59.33
ORD00237,2022-01-14,C0194,P004,1,0.1,Retail,68.74,32.65,36.09
ORD01358,2022-01-15,C0292,P003,5,0.1,Online,474.16,354.25,119.91
ORD03005,2022-01-15,C0397,P002,3,0.2,Online,1431.34,886.44,544.9
ORD04087,2022-01-15,C0171,P006,5,0.0,Retail,222.1,90.15,131.95
ORD03767,2022-01-16,C0259,P017,4,0.0,Retail,345.04,141.48,203.56
ORD00791,2022-01-16,C0216,P008,3,0.05,Direct Sales,350.52,242.73,107.79
ORD04075,2022-01-16,C0387,P007,3,0.0,Wholesale,1560.96,1003.95,557.01
ORD03934,2022-01-17,C0325,P004,2,0.0,Online,152.76,65.3,87.46
ORD03936,2022-01-17,C0329,P009,3,0.1,Online,670.3,385.95,284.35
ORD01044,2022-01-18,C0106,P009,1,0.05,Retail,235.85,128.65,107.2
ORD00264,2022-01-18,C0331,P013,4,0.0,Direct Sales,1684.96,751.48,933.48
ORD04374,2022-01-19,C0474,P005,2,0.15,Online,893.27,488.86,404.41
ORD01948,2022-01-19,C0234,P016,1,0.05,Retail,352.97,246.94,106.03
ORD04006,2022-01-19,C0436,P002,1,0.05,Retail,566.57,295.48,271.09
ORD02293,2022-01-19,C0032,P018,3,0.0,Online,2632.83,1159.8,1473.03
ORD04379,2022-01-20,C0337,P003,2,0.05,Online,200.2,141.7,58.5
ORD04437,2022-01-21,C0309,P002,1,0.05,Retail,566.57,295.48,271.09
ORD02433,2022-01-21,C0024,P003,4,0.15,Online,358.26,283.4,74.86
ORD01791,2022-01-21,C0099,P015,2,0.15,Online,555.54,482.08,73.46
ORD03566,2022-01-21,C0296,P017,1,0.0,Online,86.26,35.37,50.89
ORD01771,2022-01-22,C0233,P006,2,0.2,Retail,71.07,36.06,35.01
ORD04277,2022-01-22,C0034,P015,2,0.1,Online,588.22,482.08,106.14
ORD02369,2022-01-22,C0207,P012,1,0.15,Direct Sales,183.27,123.94,59.33
ORD04848,2022-01-22,C0349,P010,2,0.2,Wholesale,470.99,356.92,114.07
ORD04158,2022-01-22,C0422,P006,4,0.05,Online,168.8,72.12,96.68
ORD03669,2022-01-22,C0213,P013,4,0.05,Direct Sales,1600.71,751.48,849.23
ORD03914,2022-01-23,C0175,P006,2,0.0,Online,88.84,36.06,52.78
ORD03195,2022-01-23,C0189,P008,2,0.0,Online,245.98,161.82,84.16
ORD02877,2022-01-23,C0047,P017,1,0.1,Online,77.63,35.37,42.26
ORD01718,2022-01-23,C0423,P015,1,0.0,Direct Sales,326.79,241.04,85.75
ORD00152,2022-01-23,C0354,P006,1,0.1,Wholesale,39.98,18.03,21.95
ORD04670,2022-01-23,C0184,P007,5,0.1,Online,2341.44,1673.25,668.19
ORD02723,2022-01-23,C0025,P011,2,0.05,Online,693.16,497.24,195.92
ORD02404,2022-01-23,C0360,P009,1,0.0,Online,248.26,128.65,119.61
ORD04204,2022-01-24,C0165,P016,2,0.0,Online,743.1,493.88,249.22
ORD03584,2022-01-24,C0018,P015,3,0.0,Retail,980.37,723.12,257.25
ORD02241,2022-01-24,C0353,P006,3,0.15,Online,113.27,54.09,59.18
ORD04501,2022-01-24,C0323,P014,2,0.0,Direct Sales,336.9,175.74,161.16
ORD03818,2022-01-24,C0246,P002,1,0.05,Wholesale,566.57,295.48,271.09
ORD03939,2022-01-24,C0029,P015,5,0.05,Wholesale,1552.25,1205.2,347.05
ORD00058,2022-01-24,C0124,P001,3,0.05,Direct Sales,1085.68,468.21,617.47
ORD01984,2022-01-25,C0003,P011,1,0.1,Retail,328.34,248.62,79.72
ORD03069,2022-01-25,C0222,P001,1,0.0,Retail,380.94,156.07,224.87
ORD00236,2022-01-25,C0245,P007,1,0.05,Direct Sales,494.3,334.65,159.65
ORD01180,2022-01-26,C0184,P006,1,0.0,Online,44.42,18.03,26.39
ORD01910,2022-01-26,C0047,P006,4,0.0,Direct Sales,177.68,72.12,105.56
ORD04938,2022-01-26,C0190,P001,1,0.15,Online,323.8,156.07,167.73
ORD03243,2022-01-26,C0459,P011,3,0.0,Online,1094.46,745.86,348.6
ORD00737,2022-01-26,C0269,P002,1,0.0,Online,596.39,295.48,300.91
ORD02914,2022-01-27,C0089,P004,2,0.0,Online,152.76,65.3,87.46
ORD02884,2022-01-27,C0380,P011,2,0.1,Online,656.68,497.24,159.44
ORD02004,2022-01-27,C0012,P008,1,0.1,Retail,110.69,80.91,29.78
ORD01200,2022-01-27,C0318,P020,1,0.0,Retail,506.13,276.85,229.28
ORD01152,2022-01-27,C0300,P015,1,0.05,Retail,310.45,241.04,69.41
ORD00229,2022-01-28,C0237,P012,1,0.1,Direct Sales,194.05,123.94,70.11
ORD03213,2022-01-28,C0219,P018,1,0.0,Online,877.61,386.6,491.01
ORD02516,2022-01-29,C0349,P016,5,0.05,Direct Sales,1764.86,1234.7,530.16
