product_id,product_name,category,unit_cost,unit_price
P001,Laptop,Electronics,156.07,380.94
P002,Smartphone,Electronics,295.48,596.39
P003,Tablet,Electronics,70.85,105.37
P004,Headphones,Electronics,32.65,76.38
P005,Smartwatch,Electronics,244.43,525.45
P006,Office Chair,Furniture,18.03,44.42
P007,Standing Desk,Furniture,334.65,520.32
P008,Bookshelf,Furniture,80.91,122.99
P009,Sofa,Furniture,128.65,248.26
P010,Lamp,Furniture,178.46,294.37
P011,Jacket,Clothing,248.62,364.82
P012,Sneakers,Clothing,123.94,215.61
P013,T-Shirt,Clothing,187.87,421.24
P014,Jeans,Clothing,87.87,168.45
P015,Hoodie,Clothing,241.04,326.79
P016,Coffee Beans,Food & Bev,246.94,371.55
P017,Energy Drink,Food & Bev,35.37,86.26
P018,Protein Bar,Food & Bev,386.6,877.61
P019,Tea Pack,Food & Bev,128.8,182.54
P020,Juice,Food & Bev,276.85,506.13
