year_month,revenue,profit,year_month_str
2022-01,74419.34,31454.76,2022-01
2022-02,78514.26,32639.98,2022-02
2022-03,85730.41,38202.84,2022-03
2022-04,95768.81,42675.2,2022-04
2022-05,80054.88,32948.96,2022-05
2022-06,63835.52,28342.6,2022-06
2022-07,93302.14,40263.31,2022-07
2022-08,84504.49,35191.03,2022-08
2022-09,93085.59,39927.83,2022-09
2022-10,96986.63,44290.37,2022-10
2022-11,84811.41,34673.94,2022-11
2022-12,88625.69,34560.37,2022-12
2023-01,103335.31,45793.52,2023-01
2023-02,80043.88,35253.479999999996,2023-02
2023-03,92845.74,40169.46,2023-03
2023-04,90754.72,37927.33,2023-04
2023-05,79559.83,33317.71,2023-05
2023-06,78377.16,34321.53,2023-06
2023-07,95028.75,41250.63,2023-07
2023-08,83520.43000000001,36722.32,2023-08
2023-09,91989.05,40161.4,2023-09
2023-10,78542.14,33901.8,2023-10
2023-11,80101.14,33622.4,2023-11
2023-12,84249.7,36414.87,2023-12
2024-01,91089.28,39596.01,2024-01
2024-02,79934.62,33046.99,2024-02
2024-03,99899.7,43513.1,2024-03
2024-04,71186.81,30348.11,2024-04
2024-05,95485.39,41862.01,2024-05
2024-06,86322.82,37135.56,2024-06
2024-07,81009.15,33477.54,2024-07
2024-08,95995.82,40582.18,2024-08
2024-09,78450.64,31498.01,2024-09
2024-10,74472.16,30471.26,2024-10
2024-11,89766.27,39404.38,2024-11
2024-12,73977.82,32288.44,2024-12
